Description	Accession	CUP_1		CUP_2		CUP_3		CUP_4		CUP_5		CUP_6		CUP_7		CUP_8		CUP_9		CUP_10		CUP_11		CUP_12		CUP_13		CUP_14		CUP_15		CUP_16		CUP_17		CUP_19		CUP_22		CUP_28		
	CL2000080118AA CL2000080814AA		CL2000080117AA/scale factor=1	CL2000080815AA/scale factor=1		CL2000080119AA/scale factor=1	CL2000080816AA/scale factor=1		CL2000080120AA/scale factor=1	CL2000080817AA/scale factor=1		CL2000080121AA/scale factor=1	CL2000080818AA/scale factor=1		CL2000080122AA/scale factor=1	CL2000080819AA/scale factor=1		CL2000080123AA/scale factor=1	CL2000080820AA/scale factor=1		CL2000081101AA/scale factor=1	CL2000081501AA/scale factor=1		CL2000080125AA/scale factor=1	CL2000080822AA/scale factor=1		CL2000080126AA/scale factor=1	CL2000080823AA/scale factor=1		CL2000080127AA/scale factor=1	CL2000080824AA/scale factor=1		CL2000081102AA/scale factor=1	CL2000081502AA/scale factor=1		CL2000081103AA/scale factor=1	CL2000081503AA/scale factor=1		CL2000081104AA/scale factor=1	CL2000081504AA/scale factor=1		CL2000081105AA/scale factor=1	CL2000081505AA/scale factor=1		CL2000100332AA/scale factor=1	CL2000091533AA/scale factor=1		CL2000081107AA/scale factor=1	CL2000081507AA/scale factor=1		CL2000081109AA/scale factor=1	CL2000081509AA/scale factor=1		CL2000081112AA/scale factor=1	CL2000081512AA/scale factor=1		CL2000091202AA/scale factor=1	CL2000100331AA/scale factor=1		
16063
AFFX-BioB-5_at (endogenous control)	AFFX-BioB-5_at	-86	A	-12	A	-94	A	-58	A	7	A	48	A	-34	A	-40	A	6	A	-118	A	-246	A	-89	A	323	A	-99	A	-168	A	40	A	-151	A	-129	A	40	A	-6.8	A	
AFFX-BioB-M_at (endogenous control)	AFFX-BioB-M_at	-172	A	-134	A	-135	A	-658	A	-65	A	-390	A	-274	A	-234	A	-828	A	-148	A	-269	A	-107	A	-7714	A	-185	A	-360	A	-357	A	-1065	A	-978	A	-395	A	-76.8	A	
AFFX-BioB-3_at (endogenous control)	AFFX-BioB-3_at	-68	A	-40	A	-115	A	-1093	A	-144	A	-400	A	-232	A	-144	A	-572	A	-37	A	-125	A	-72	A	-11211	A	-138	A	-132	A	-532	A	-1256	A	-1012	A	-339	A	-69.0	A	
AFFX-BioC-5_at (endogenous control)	AFFX-BioC-5_at	120	A	135	A	203	A	-117	A	-41	A	-23	A	-26	A	199	A	-17	A	122	A	98	A	76	A	-4121	A	102	A	116	A	321	A	-44	A	-111	A	50	A	46.0	A	
AFFX-BioC-3_at (endogenous control)	AFFX-BioC-3_at	-140	A	-95	A	-166	A	-546	A	-72	A	-144	A	-138	A	-173	A	-221	A	-145	A	-93	A	-162	A	-4028	A	-117	A	-276	A	-379	A	-727	A	-727	A	-226	A	-78.9	A	
AFFX-BioDn-5_at (endogenous control)	AFFX-BioDn-5_at	-308	A	-295	A	-263	A	-611	A	-131	A	-234	A	-180	A	-340	A	-394	A	-282	A	-261	A	-213	A	-3881	A	-246	A	-406	A	-290	A	-739	A	-631	A	-324	A	-121.8	A	
AFFX-BioDn-3_at (endogenous control)	AFFX-BioDn-3_at	150	A	-486	A	298	A	216	A	22	A	39	A	137	A	-560	A	-37	A	-344	A	-198	A	-267	A	4578	A	-139	A	678	A	-741	A	327	A	164	A	-320	A	8.1	A	
AFFX-CreX-5_at (endogenous control)	AFFX-CreX-5_at	-110	A	-77	A	-99	A	-162	A	-66	A	-34	A	-10	A	-120	A	-161	A	-121	A	-84	A	-105	A	-1616	A	-76	A	-162	A	-173	A	-259	A	-207	A	-100	A	-36.9	A	
AFFX-CreX-3_at (endogenous control)	AFFX-CreX-3_at	15	A	3	A	20	A	-22	A	-14	A	-7	A	-37	A	-58	A	-138	A	-17	A	68	A	14	A	-331	A	-3	A	33	A	-215	A	-97	A	-160	A	-50	A	-40.1	A	
AFFX-BioB-5_st (endogenous control)	AFFX-BioB-5_st	96	A	68	A	163	A	175	A	25	A	69	A	8	A	375	A	219	A	78	A	416	A	228	A	949	A	347	A	1011	A	246	A	283	A	119	A	301	A	32.5	A	
AFFX-BioB-M_st (endogenous control)	AFFX-BioB-M_st	-46	A	38	A	-123	A	-239	A	-55	A	-155	A	-65	A	-142	A	-125	A	-151	A	-252	A	-99	A	-509	A	-179	A	-280	A	-228	A	-436	A	-281	A	-156	A	-7.6	A	
